,potential,value_eur,wage_eur,age,height_cm,weight_kg,weak_foot,skill_moves,pace,shooting,passing,dribbling,defending,physic
6076,Medium,1400000.0,8000.0,28,170,67,2,3,78.0,66.0,63.0,69.0,57.0,61.0
11326,Medium,775000.0,2000.0,26,184,75,3,2,49.0,43.0,57.0,53.0,64.0,66.0
3323,Good,1600000.0,6000.0,31,193,84,3,2,42.0,28.0,51.0,53.0,71.0,86.0
15238,Low,275000.0,2000.0,27,182,75,2,2,50.0,52.0,63.0,58.0,39.0,59.0
17427,Good,400000.0,500.0,18,186,79,3,2,61.0,33.0,47.0,47.0,56.0,61.0
17044,Low,140000.0,500.0,30,172,65,2,2,67.0,47.0,53.0,52.0,49.0,58.0
10119,Low,850000.0,13000.0,26,178,76,4,3,75.0,60.0,64.0,68.0,29.0,58.0
626,Great,15500000.0,32000.0,29,175,70,3,2,83.0,52.0,70.0,71.0,76.0,71.0
1048,Great,12500000.0,28000.0,21,178,78,3,2,81.0,63.0,72.0,75.0,37.0,69.0
686,Great,8500000.0,28000.0,33,178,79,4,3,58.0,75.0,79.0,70.0,75.0,79.0
5480,Medium,425000.0,5000.0,35,174,72,2,2,67.0,58.0,66.0,64.0,67.0,67.0
12563,Low,475000.0,800.0,27,179,75,3,2,72.0,39.0,48.0,53.0,60.0,76.0
8933,Low,700000.0,2000.0,30,183,77,3,2,41.0,27.0,51.0,50.0,65.0,73.0
9275,Medium,1100000.0,500.0,26,189,86,3,3,65.0,66.0,50.0,66.0,22.0,67.0
16359,Medium,525000.0,500.0,19,184,72,3,2,67.0,51.0,59.0,61.0,37.0,57.0
11846,Good,1200000.0,1000.0,20,166,63,2,2,71.0,39.0,52.0,65.0,60.0,57.0
19099,Low,110000.0,2000.0,20,175,64,3,2,64.0,44.0,50.0,54.0,41.0,41.0
5756,Medium,1700000.0,13000.0,25,179,65,3,3,89.0,60.0,64.0,69.0,34.0,55.0
13872,Low,275000.0,1000.0,31,173,69,3,2,53.0,52.0,63.0,63.0,58.0,56.0
17796,Great,375000.0,500.0,17,178,72,3,2,61.0,26.0,48.0,40.0,55.0,61.0
447,Great,22000000.0,81000.0,27,170,70,3,3,75.0,53.0,71.0,76.0,79.0,69.0
14659,Good,775000.0,7000.0,20,175,60,4,3,68.0,44.0,58.0,66.0,56.0,50.0
2150,Good,3100000.0,13000.0,31,170,62,2,3,76.0,46.0,72.0,70.0,68.0,65.0
996,Great,12500000.0,17000.0,26,186,83,3,2,69.0,78.0,57.0,68.0,27.0,73.0
11768,Good,1300000.0,1000.0,20,178,79,3,3,74.0,59.0,58.0,70.0,43.0,64.0
16544,Low,230000.0,1000.0,27,174,68,3,3,75.0,41.0,57.0,62.0,46.0,63.0
12869,Good,1000000.0,3000.0,24,184,85,4,2,49.0,31.0,40.0,48.0,64.0,66.0
2922,Great,3800000.0,6000.0,24,171,70,2,3,81.0,49.0,65.0,69.0,68.0,75.0
16678,Good,500000.0,800.0,20,188,75,2,2,53.0,26.0,32.0,37.0,59.0,68.0
3791,Great,5500000.0,7000.0,21,180,66,4,3,76.0,67.0,69.0,73.0,46.0,58.0
8081,Low,1100000.0,4000.0,27,173,72,3,2,74.0,61.0,62.0,67.0,55.0,70.0
9837,Low,575000.0,3000.0,32,176,75,2,3,62.0,63.0,68.0,65.0,48.0,67.0
2523,Good,2100000.0,700.0,31,183,86,3,3,73.0,50.0,65.0,65.0,72.0,80.0
15424,Medium,550000.0,2000.0,23,176,70,2,2,64.0,53.0,53.0,62.0,33.0,53.0
13738,Low,190000.0,2000.0,33,182,73,2,2,54.0,29.0,46.0,48.0,63.0,64.0
562,Great,12000000.0,40000.0,31,182,75,3,2,64.0,33.0,59.0,58.0,80.0,82.0
5996,Great,2600000.0,12000.0,23,190,81,3,2,55.0,29.0,51.0,58.0,69.0,72.0
2124,Good,4400000.0,30000.0,27,178,76,3,3,70.0,44.0,63.0,72.0,72.0,66.0
16417,Low,240000.0,500.0,26,187,79,2,2,70.0,56.0,52.0,59.0,53.0,63.0
11962,Good,1300000.0,500.0,21,185,80,3,2,71.0,53.0,57.0,65.0,33.0,61.0
15766,Great,600000.0,1000.0,18,188,81,3,2,49.0,32.0,45.0,44.0,62.0,59.0
11710,Good,1200000.0,3000.0,21,175,72,4,2,67.0,51.0,63.0,62.0,57.0,67.0
8584,Great,2300000.0,4000.0,22,173,69,3,3,84.0,60.0,56.0,74.0,40.0,56.0
1511,Good,3800000.0,22000.0,31,187,83,2,2,47.0,33.0,64.0,55.0,74.0,79.0
10777,Good,1400000.0,2000.0,23,172,74,3,3,77.0,58.0,58.0,69.0,27.0,59.0
11409,Low,475000.0,4000.0,31,180,72,3,3,68.0,59.0,66.0,66.0,53.0,65.0
16790,Good,525000.0,500.0,19,187,81,3,2,72.0,48.0,51.0,56.0,48.0,62.0
16157,Low,250000.0,1000.0,26,183,68,3,2,61.0,29.0,46.0,52.0,57.0,62.0
18942,Low,130000.0,500.0,20,168,63,3,2,65.0,44.0,52.0,52.0,39.0,47.0
10655,Good,1600000.0,8000.0,21,177,77,3,3,79.0,58.0,61.0,67.0,35.0,57.0
2428,Good,4600000.0,1000.0,27,185,73,3,2,83.0,76.0,63.0,70.0,30.0,73.0
11608,Medium,1100000.0,2000.0,22,179,64,3,3,76.0,28.0,57.0,65.0,60.0,58.0
8116,Great,2300000.0,5000.0,23,180,72,3,2,64.0,52.0,65.0,68.0,62.0,69.0
898,Great,7500000.0,26000.0,31,182,77,3,3,67.0,54.0,74.0,73.0,77.0,69.0
3354,Good,2700000.0,33000.0,26,184,80,3,3,55.0,70.0,71.0,75.0,70.0,66.0
13399,Low,70000.0,650.0,36,190,84,3,2,31.0,41.0,38.0,32.0,62.0,77.0
12416,Low,600000.0,2000.0,24,174,71,4,3,62.0,57.0,65.0,67.0,57.0,63.0
7399,Great,3000000.0,4000.0,20,190,88,2,2,63.0,35.0,51.0,59.0,66.0,78.0
12483,Low,550000.0,4000.0,27,189,75,2,2,88.0,61.0,54.0,60.0,33.0,64.0
1562,Good,4800000.0,7000.0,31,184,75,5,4,80.0,76.0,61.0,74.0,38.0,78.0
15069,Good,800000.0,1000.0,21,183,78,3,3,55.0,64.0,49.0,61.0,23.0,55.0
9760,Good,1300000.0,2000.0,23,178,68,3,3,69.0,60.0,65.0,72.0,53.0,60.0
14728,Great,850000.0,2000.0,19,175,70,3,3,82.0,61.0,45.0,63.0,26.0,60.0
16042,Low,300000.0,500.0,22,173,61,3,2,78.0,44.0,49.0,58.0,53.0,63.0
5095,Good,2400000.0,4000.0,24,190,83,4,3,73.0,68.0,68.0,69.0,22.0,75.0
1469,Good,1100000.0,19000.0,36,181,79,3,2,55.0,55.0,69.0,64.0,77.0,68.0
635,Great,25000000.0,35000.0,23,185,79,4,2,82.0,37.0,57.0,65.0,80.0,79.0
1486,Good,1900000.0,13000.0,36,176,71,4,4,70.0,79.0,73.0,80.0,35.0,64.0
10263,Good,1400000.0,2000.0,24,173,70,3,3,72.0,59.0,64.0,65.0,63.0,68.0
13655,Low,425000.0,2000.0,27,181,71,3,2,62.0,60.0,59.0,62.0,46.0,53.0
15233,Low,400000.0,2000.0,24,180,70,3,2,78.0,59.0,46.0,59.0,22.0,62.0
18381,Low,250000.0,500.0,18,178,68,3,2,63.0,48.0,55.0,56.0,43.0,45.0
7092,Medium,1400000.0,9000.0,26,180,73,3,3,77.0,50.0,61.0,66.0,63.0,65.0
5325,Good,2100000.0,7000.0,26,189,88,3,2,63.0,71.0,47.0,61.0,32.0,76.0
9768,Low,800000.0,2000.0,29,188,76,3,2,59.0,38.0,53.0,58.0,65.0,72.0
11503,Medium,875000.0,1000.0,24,173,72,3,2,71.0,59.0,67.0,67.0,56.0,68.0
2297,Great,5500000.0,62000.0,25,179,68,3,3,83.0,57.0,69.0,72.0,69.0,74.0
9800,Great,2100000.0,4000.0,16,173,68,3,2,66.0,53.0,67.0,69.0,50.0,48.0
4729,Medium,1000000.0,2000.0,33,183,75,3,4,65.0,66.0,73.0,72.0,60.0,76.0
17299,Great,400000.0,500.0,17,168,59,3,3,67.0,54.0,49.0,64.0,23.0,44.0
15174,Low,45000.0,2000.0,36,180,74,3,2,49.0,39.0,49.0,50.0,60.0,67.0
4334,Medium,1600000.0,6000.0,28,170,71,2,2,69.0,42.0,59.0,63.0,67.0,76.0
15311,Low,240000.0,2000.0,27,183,75,2,2,54.0,35.0,53.0,59.0,61.0,61.0
10338,Medium,1000000.0,3000.0,23,175,75,2,3,87.0,49.0,49.0,63.0,61.0,72.0
17567,Good,375000.0,2000.0,19,175,66,3,2,69.0,44.0,56.0,60.0,48.0,45.0
18231,Low,170000.0,500.0,24,186,81,3,2,55.0,57.0,43.0,44.0,19.0,61.0
17653,Medium,350000.0,2000.0,19,181,70,3,2,78.0,55.0,48.0,59.0,18.0,47.0
1103,Great,14000000.0,15000.0,25,191,79,3,3,79.0,76.0,70.0,71.0,45.0,75.0
3172,Good,1900000.0,11000.0,32,185,84,3,5,76.0,68.0,66.0,76.0,34.0,75.0
10815,Low,750000.0,4000.0,27,187,87,3,2,64.0,44.0,49.0,54.0,63.0,76.0
18528,Medium,230000.0,500.0,18,183,67,3,2,56.0,33.0,48.0,54.0,48.0,53.0
4773,Medium,1300000.0,800.0,31,183,78,4,3,77.0,66.0,66.0,72.0,45.0,65.0
14942,Medium,700000.0,2000.0,21,185,80,2,2,54.0,28.0,38.0,35.0,65.0,62.0
7582,Low,1000000.0,5000.0,29,194,86,3,2,58.0,65.0,54.0,60.0,30.0,78.0
6871,Good,1700000.0,2000.0,25,180,70,2,2,68.0,44.0,50.0,49.0,65.0,81.0
9776,Great,1900000.0,3000.0,20,183,74,3,3,86.0,60.0,59.0,66.0,24.0,58.0
18432,Low,100000.0,1000.0,27,182,75,3,2,58.0,23.0,32.0,35.0,57.0,61.0
10601,Good,1500000.0,6000.0,21,181,71,2,2,73.0,43.0,52.0,62.0,60.0,68.0
1122,Great,22000000.0,18000.0,18,185,79,2,4,77.0,71.0,74.0,82.0,36.0,71.0
314,Great,25500000.0,26000.0,29,182,75,3,4,80.0,81.0,82.0,82.0,36.0,66.0
17566,Low,275000.0,500.0,23,166,69,3,2,72.0,26.0,40.0,51.0,53.0,58.0
7813,Good,1500000.0,2000.0,24,183,80,2,2,69.0,50.0,63.0,64.0,63.0,75.0
17650,Medium,350000.0,1000.0,19,175,66,3,2,76.0,48.0,50.0,61.0,27.0,40.0
17315,Low,140000.0,500.0,29,169,67,3,2,64.0,39.0,49.0,53.0,53.0,59.0
17031,Low,160000.0,3000.0,30,185,74,3,2,65.0,56.0,51.0,58.0,32.0,64.0
16560,Low,210000.0,1000.0,28,184,83,2,2,67.0,28.0,47.0,42.0,57.0,67.0
11314,Low,750000.0,3000.0,26,173,71,3,2,55.0,54.0,66.0,65.0,62.0,65.0
12319,Low,400000.0,650.0,31,176,73,4,3,70.0,61.0,61.0,65.0,49.0,70.0
12637,Medium,725000.0,3000.0,24,183,71,3,3,72.0,54.0,62.0,63.0,60.0,68.0
11427,Medium,800000.0,1000.0,25,182,73,3,3,78.0,53.0,60.0,69.0,56.0,61.0
4693,Medium,1300000.0,7000.0,31,180,71,3,3,67.0,67.0,69.0,70.0,65.0,66.0
13978,Medium,800000.0,2000.0,22,178,77,3,2,71.0,58.0,60.0,64.0,55.0,63.0
15743,Good,550000.0,500.0,20,187,78,2,2,55.0,24.0,40.0,37.0,60.0,62.0
12372,Low,425000.0,500.0,28,180,76,3,2,67.0,37.0,54.0,53.0,61.0,70.0
14126,Good,925000.0,4000.0,20,194,83,4,2,69.0,31.0,47.0,45.0,63.0,67.0
1447,Great,15500000.0,38000.0,22,191,85,3,2,67.0,36.0,51.0,55.0,76.0,79.0
4163,Good,1700000.0,16000.0,29,189,80,3,2,59.0,59.0,57.0,60.0,72.0,71.0
14955,Good,750000.0,2000.0,22,178,72,3,3,73.0,58.0,41.0,59.0,25.0,59.0
4431,Medium,1900000.0,11000.0,29,185,79,4,3,67.0,73.0,67.0,67.0,28.0,70.0
14193,Medium,900000.0,500.0,22,170,58,3,3,75.0,56.0,53.0,67.0,27.0,33.0
16256,Good,575000.0,3000.0,19,170,67,3,2,67.0,56.0,54.0,65.0,29.0,43.0
16914,Good,450000.0,500.0,17,179,75,2,2,68.0,44.0,51.0,55.0,53.0,63.0
6120,Great,3000000.0,11000.0,22,175,76,3,2,76.0,42.0,62.0,63.0,63.0,74.0
18983,Medium,160000.0,2000.0,18,167,61,3,2,79.0,44.0,43.0,52.0,19.0,36.0
10530,Great,1600000.0,12000.0,21,184,78,3,3,68.0,63.0,49.0,68.0,22.0,54.0
128,Great,37000000.0,130000.0,28,181,68,4,3,69.0,74.0,80.0,79.0,79.0,78.0
15320,Low,375000.0,3000.0,22,186,77,4,2,67.0,58.0,50.0,59.0,32.0,60.0
2362,Good,3900000.0,13000.0,29,188,83,2,2,65.0,39.0,45.0,54.0,75.0,78.0
754,Great,20500000.0,57000.0,24,183,79,3,3,78.0,77.0,63.0,73.0,30.0,82.0
12163,Great,1300000.0,3000.0,20,185,74,3,2,73.0,42.0,51.0,53.0,62.0,67.0
18470,Low,210000.0,500.0,23,172,71,3,2,67.0,48.0,49.0,55.0,47.0,67.0
1408,Great,11000000.0,28000.0,24,178,74,4,4,83.0,73.0,70.0,78.0,42.0,67.0
7275,Medium,1300000.0,3000.0,27,180,72,3,2,55.0,53.0,66.0,66.0,65.0,69.0
7246,Good,2400000.0,3000.0,24,176,68,3,2,63.0,57.0,67.0,67.0,58.0,56.0
1787,Great,11500000.0,28000.0,23,177,70,2,4,72.0,68.0,72.0,78.0,39.0,51.0
424,Great,15500000.0,1000.0,31,177,86,3,4,82.0,64.0,74.0,81.0,75.0,75.0
6949,Medium,1200000.0,5000.0,28,183,82,4,3,64.0,63.0,70.0,66.0,57.0,76.0
18464,Low,150000.0,500.0,24,177,70,3,2,82.0,41.0,46.0,53.0,26.0,54.0
4872,Medium,1400000.0,19000.0,29,175,73,3,3,81.0,39.0,64.0,67.0,66.0,64.0
1905,Great,8000000.0,33000.0,23,183,70,3,3,87.0,58.0,66.0,72.0,74.0,81.0
386,Great,36500000.0,49000.0,23,173,70,3,4,84.0,67.0,76.0,81.0,77.0,75.0
8845,Low,850000.0,4000.0,28,183,71,4,3,88.0,55.0,57.0,71.0,26.0,49.0
17625,Low,170000.0,500.0,26,175,73,3,2,67.0,31.0,42.0,50.0,54.0,66.0
12042,Good,1200000.0,2000.0,20,194,85,3,2,58.0,40.0,59.0,56.0,63.0,66.0
607,Great,21500000.0,84000.0,25,180,80,3,3,78.0,57.0,71.0,76.0,75.0,70.0
5978,Good,1700000.0,600.0,26,176,69,2,3,83.0,62.0,61.0,70.0,62.0,59.0
9861,Low,700000.0,4000.0,30,193,75,3,2,49.0,66.0,51.0,61.0,32.0,78.0
9371,Low,925000.0,2000.0,26,175,74,4,3,78.0,56.0,58.0,64.0,54.0,75.0
11337,Low,600000.0,2000.0,28,194,86,3,2,69.0,62.0,59.0,60.0,37.0,77.0
1950,Great,11500000.0,10000.0,20,179,77,3,3,83.0,44.0,64.0,75.0,75.0,79.0
7066,Great,2700000.0,21000.0,20,183,78,3,2,61.0,30.0,55.0,62.0,68.0,67.0
18379,Good,300000.0,650.0,18,178,70,4,2,64.0,48.0,52.0,54.0,36.0,46.0
1548,Good,5500000.0,1000.0,29,182,74,4,3,75.0,73.0,73.0,73.0,71.0,75.0
11737,Low,675000.0,3000.0,26,188,85,3,2,67.0,35.0,45.0,48.0,64.0,73.0
341,Great,26000000.0,34000.0,28,174,74,4,4,88.0,80.0,75.0,83.0,38.0,70.0
11035,Medium,1100000.0,5000.0,23,181,79,3,3,69.0,67.0,41.0,63.0,19.0,61.0
13097,Good,1100000.0,2000.0,19,182,78,3,2,64.0,63.0,45.0,59.0,19.0,66.0
14702,Low,525000.0,850.0,22,170,65,2,2,74.0,48.0,56.0,64.0,39.0,60.0
11169,Low,475000.0,5000.0,30,191,90,2,2,42.0,23.0,44.0,45.0,63.0,80.0
15808,Medium,550000.0,500.0,21,174,65,3,3,74.0,54.0,55.0,60.0,47.0,55.0
3134,Good,750000.0,23000.0,34,189,80,2,2,35.0,53.0,54.0,56.0,74.0,76.0
10866,Medium,850000.0,1000.0,26,171,62,3,2,72.0,59.0,60.0,66.0,61.0,57.0
15240,Low,300000.0,2000.0,26,181,69,3,2,65.0,53.0,57.0,59.0,58.0,70.0
19189,Low,70000.0,2000.0,24,178,70,2,2,64.0,32.0,49.0,47.0,43.0,49.0
3255,Good,1900000.0,7000.0,31,177,73,4,4,80.0,73.0,65.0,75.0,47.0,77.0
16154,Low,425000.0,950.0,21,178,61,2,2,84.0,31.0,50.0,57.0,50.0,56.0
8837,Low,600000.0,2000.0,31,174,75,4,3,67.0,63.0,63.0,66.0,63.0,70.0
8557,Low,875000.0,5000.0,29,189,85,3,2,61.0,49.0,56.0,56.0,66.0,72.0
2001,Good,3100000.0,30000.0,31,172,76,4,4,65.0,73.0,75.0,76.0,65.0,69.0
5965,Medium,1200000.0,8000.0,29,186,76,3,3,72.0,54.0,59.0,67.0,69.0,74.0
14733,Good,800000.0,6000.0,20,167,65,3,3,66.0,48.0,58.0,68.0,42.0,54.0
8502,Great,2600000.0,8000.0,19,178,72,3,3,67.0,44.0,67.0,68.0,62.0,64.0
17215,Good,400000.0,2000.0,19,185,74,3,2,61.0,26.0,38.0,41.0,57.0,66.0
16000,Low,220000.0,2000.0,28,173,67,3,2,70.0,38.0,53.0,64.0,58.0,70.0
5695,Medium,1500000.0,11000.0,27,181,75,4,3,53.0,59.0,71.0,68.0,67.0,66.0
13621,Medium,800000.0,700.0,24,188,77,3,2,60.0,62.0,48.0,54.0,22.0,71.0
156,Great,29500000.0,82000.0,32,177,75,5,4,85.0,80.0,79.0,83.0,56.0,74.0
18392,Good,300000.0,500.0,17,177,66,2,2,62.0,47.0,50.0,61.0,34.0,43.0
16438,Medium,475000.0,1000.0,20,181,74,3,2,70.0,24.0,41.0,36.0,58.0,69.0
14937,Great,725000.0,500.0,18,184,83,3,3,76.0,47.0,51.0,63.0,56.0,70.0
12320,Low,475000.0,1000.0,30,183,82,5,3,76.0,65.0,61.0,64.0,40.0,62.0
13521,Low,400000.0,1000.0,28,179,68,3,2,68.0,53.0,60.0,66.0,54.0,64.0
16705,Low,400000.0,3000.0,24,175,71,3,2,70.0,56.0,45.0,59.0,20.0,62.0
7237,Medium,1600000.0,4000.0,25,178,82,3,3,85.0,65.0,51.0,68.0,24.0,77.0
9870,Low,475000.0,2000.0,32,175,68,3,2,42.0,49.0,58.0,60.0,63.0,72.0
9072,Medium,925000.0,2000.0,26,184,81,3,2,56.0,34.0,47.0,50.0,64.0,78.0
16529,Low,160000.0,3000.0,32,178,72,3,2,69.0,53.0,55.0,58.0,60.0,68.0
15422,Good,600000.0,6000.0,21,180,70,3,3,72.0,53.0,52.0,63.0,33.0,44.0
17657,Low,300000.0,1000.0,20,179,78,3,2,61.0,41.0,53.0,59.0,54.0,66.0
3580,Good,2000000.0,12000.0,29,183,79,2,2,56.0,46.0,59.0,51.0,73.0,75.0
4702,Medium,1500000.0,10000.0,30,175,71,3,3,73.0,63.0,70.0,70.0,62.0,67.0
7031,Medium,1100000.0,5000.0,28,179,72,3,3,68.0,39.0,57.0,64.0,67.0,64.0
16642,Low,425000.0,900.0,21,184,79,2,2,61.0,34.0,46.0,49.0,56.0,62.0
5599,Medium,1200000.0,5000.0,28,182,81,3,2,69.0,56.0,65.0,65.0,66.0,78.0
11024,Great,1600000.0,500.0,21,181,76,3,2,75.0,54.0,58.0,67.0,48.0,52.0
13234,Great,1100000.0,3000.0,20,185,80,3,2,70.0,40.0,53.0,50.0,62.0,70.0
14044,Good,825000.0,500.0,21,184,84,3,2,66.0,37.0,53.0,52.0,60.0,65.0
1323,Great,12000000.0,46000.0,24,172,69,4,3,90.0,77.0,66.0,76.0,35.0,71.0
1918,Great,7500000.0,20000.0,25,178,69,3,3,66.0,35.0,63.0,69.0,74.0,65.0
9427,Good,1900000.0,2000.0,21,175,75,3,3,68.0,65.0,54.0,67.0,33.0,62.0
19175,Low,70000.0,2000.0,24,185,72,4,2,64.0,36.0,49.0,45.0,40.0,55.0
6884,Medium,1200000.0,5000.0,28,180,69,3,3,79.0,64.0,68.0,70.0,35.0,64.0
4130,Good,1800000.0,7000.0,28,183,76,3,2,65.0,41.0,48.0,48.0,71.0,77.0
7834,Low,750000.0,3000.0,31,185,74,3,2,49.0,36.0,56.0,58.0,68.0,74.0
5509,Medium,1100000.0,11000.0,31,180,78,3,3,37.0,69.0,73.0,72.0,55.0,56.0
6469,Medium,400000.0,2000.0,36,185,88,3,2,46.0,71.0,53.0,54.0,36.0,78.0
7720,Medium,1200000.0,5000.0,26,175,74,3,3,67.0,56.0,68.0,72.0,56.0,64.0
9851,Low,230000.0,1000.0,37,175,79,2,3,38.0,49.0,69.0,69.0,56.0,61.0
14151,Good,850000.0,500.0,18,193,77,3,3,77.0,55.0,58.0,68.0,23.0,48.0
14944,Great,825000.0,5000.0,20,170,66,2,2,71.0,41.0,46.0,63.0,57.0,50.0
599,Great,15500000.0,49000.0,29,175,71,3,3,85.0,54.0,72.0,76.0,73.0,77.0
5698,Medium,1200000.0,22000.0,29,194,84,3,3,52.0,50.0,65.0,63.0,70.0,73.0
15104,Low,375000.0,800.0,26,175,70,3,2,65.0,51.0,61.0,64.0,37.0,51.0
3322,Good,2400000.0,13000.0,28,195,89,2,2,55.0,73.0,50.0,60.0,34.0,79.0
12175,Great,1400000.0,7000.0,19,182,72,2,3,72.0,56.0,60.0,68.0,53.0,54.0
15874,Good,575000.0,4000.0,19,193,78,3,2,70.0,50.0,58.0,63.0,38.0,60.0
10594,Good,1600000.0,1000.0,21,178,73,3,3,71.0,56.0,63.0,69.0,43.0,60.0
6852,Medium,475000.0,4000.0,35,174,73,3,3,42.0,59.0,71.0,66.0,68.0,68.0
12156,Low,700000.0,500.0,25,180,77,3,2,62.0,30.0,41.0,40.0,65.0,64.0
12931,Great,1100000.0,9000.0,20,176,70,3,2,64.0,54.0,60.0,64.0,60.0,58.0
5200,Great,3600000.0,14000.0,22,177,70,3,3,80.0,64.0,64.0,72.0,39.0,56.0
19165,Low,100000.0,1000.0,19,183,72,3,2,51.0,37.0,47.0,50.0,49.0,54.0
4375,Medium,1300000.0,7000.0,31,191,80,2,2,64.0,29.0,48.0,47.0,70.0,81.0
13257,Medium,925000.0,500.0,23,175,71,3,2,71.0,43.0,53.0,61.0,61.0,56.0
17231,Low,325000.0,700.0,20,192,83,2,2,55.0,35.0,47.0,51.0,56.0,60.0
13197,Great,1200000.0,4000.0,18,178,67,3,3,66.0,52.0,66.0,68.0,49.0,57.0
